node_id,ip_address,latency_ms,throughput_mbps,total_storage_gb,free_storage_gb,distance_km,region,timestamp
router_000000,10.0.0.0,14.363502971184062,95.56428757689245,128,40.08609501227462,9.154327290224062,region_0,2025-08-12T18:32:26.341509
router_000001,10.1.0.1,31.14581882133978,18.99774242362026,128,43.97792655987208,14.216167670276528,region_1,2025-08-12T18:31:26.341509
router_000002,10.2.0.2,52.70181444490114,11.85260448662222,64,37.48994475200711,24.109014280728378,region_2,2025-08-12T18:30:26.341509
router_000003,10.3.0.3,50.01946914602536,99.29904033620957,32,18.690900933179197,23.10896825866745,region_3,2025-08-12T18:29:26.341509
router_000004,10.4.0.4,75.7986254660529,36.21062261782377,128,22.993743727186498,21.176652116597424,region_4,2025-08-12T18:28:26.341509
router_000005,10.0.0.5,29.34388797103648,30.949420638727382,64,40.33291826268561,3.395269841296216,region_0,2025-08-12T18:27:26.341509
router_000006,10.1.0.6,32.855860960340294,63.31731119758382,128,43.69731830313442,15.364459309522806,region_1,2025-08-12T18:26:26.341509
router_000007,10.2.0.7,46.26248129923857,11.193846504387988,32,48.45344148835517,22.221761547688686,region_2,2025-08-12T18:25:26.341509
router_000008,10.3.0.8,57.61534422933427,18.79049026057455,128,35.74685834714562,24.344951537848004,region_3,2025-08-12T18:24:26.341509
router_000009,10.4.0.9,85.8298727934041,25.602818815699486,32,16.645099172000762,30.10657312313274,region_4,2025-08-12T18:23:26.341509
router_000010,10.0.0.10,12.792776902235275,56.80612190600297,64,30.546514751899615,0.9540427406055995,region_0,2025-08-12T18:22:26.341509
router_000011,10.1.0.11,41.057119364874964,50.47787200327891,64,45.2672307692442,14.169549692760734,region_1,2025-08-12T18:21:26.341509
router_000012,10.2.0.12,58.04685587557792,17.964325184672756,128,28.437541701162065,24.436994353065565,region_2,2025-08-12T18:20:26.341509
router_000013,10.3.0.13,71.11334621695379,77.25880991236428,128,42.29318791183682,20.672923237057045,region_3,2025-08-12T18:19:26.341509
router_000014,10.4.0.14,72.02336274218452,58.84264748424236,32,18.332307756683708,22.896370616413535,region_4,2025-08-12T18:18:26.341509
router_000015,10.0.0.15,5.390910168529849,48.10613326357327,32,13.942205669037758,0.5800706982922348,region_0,2025-08-12T18:17:26.341509
router_000016,10.1.0.16,40.386535711370854,73.61716094628554,128,40.55789932390425,14.286419634324664,region_1,2025-08-12T18:16:26.341509
router_000017,10.2.0.17,58.15752196283373,68.59693229517501,128,43.251736000540966,17.01703477500395,region_2,2025-08-12T18:15:26.341509
router_000018,10.3.0.18,52.385252912260285,43.37364269784397,64,19.633249491203618,26.07928958590193,region_3,2025-08-12T18:14:26.341509
router_000019,10.4.0.19,80.93893678388032,89.84914683186939,32,22.231709363920544,34.589825383142006,region_4,2025-08-12T18:13:26.341509
